Countries,F1,F2,F3
Slovenia,0.3251915240939417,0.6145375226471536,0.3086186196839599
Sweden,0.8566098734811062,1.8845057031375045,0.5667116454496135
Eswatini,-1.50609981104803,0.4642195009116413,0.4112429218377005
Seychelles,0.11258571474938901,0.03556504662060484,0.6069083733987919
Syrian Arab Republic,0.0645811475250551,-1.7392721414196144,-2.778267922659563
Chad,-0.8041964336403333,-1.7012592070993902,-0.680150364174382
Togo,-0.4719065675535532,-0.7584034742857867,0.596379249201323
Thailand,0.5864599523169161,0.0904025922555286,0.5401280797048478
Tajikistan,-0.447941556380299,-1.1581566723449352,0.4485455324750236
Timor-Leste,-0.7776784639922483,2.3668495312239393,-1.7796193391441382
Trinidad and Tobago,1.0445770723997991,-0.500586977759559,-0.9197012270270024
Tunisia,-0.3912992818153436,0.00623870629919912,0.3353364218795888
Turkiye,1.1054919266134782,-0.20332032190189328,-2.8536228976356286
Taiwan,1.3946877106424853,-0.2358771538845827,0.6529644960726934
Tanzania,-0.42168204988977664,-0.8351753007913414,0.7177915428590272
Uganda,-0.061515674436705754,-0.9390866781951667,0.578143594336984
Ukraine,-1.8369314157036258,2.457174224522924,-0.7826979856719745
Uruguay,1.0367553659813666,-0.2918594247670987,0.22772354048299287
United States,1.7762029785561493,-0.8232703055482751,0.4775668206130518
"Venezuela, RB",-1.0866291963688375,-1.3150896751716803,-2.7594668828629003
Vietnam,-0.3429363918141554,-0.9189531776005841,0.7330491541725899
"Yemen, Rep.",-0.30470036279799545,-1.5212988238933465,-2.403257761872822
South Africa,-0.4549013299033805,0.5247888053518539,0.8290441723197726
Zambia,-0.5726593582691518,0.6113028426129552,-0.24857462950841455
Zimbabwe,-0.4792563923492564,-0.3793680100002644,-2.52036026166225
